Kat. ceste;Štev. ceste;ODSEK;OPIS;PLDP;Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.;STAC_ZAC;STAC_KON;PLDP_D;PLDP_T;MO_D;MO_T;OA_D;OA_T;BUS_D;BUS_T;LT_D;LT_T;ST_D;ST_T;TT_D;TT_T;TP_D;TP_T;TR;KO
AC;A2;0001;M.P.KARAVANKE-HRUŠICA;4735;23;3923;51;211;150;149;228;0;5360;1405;3330;1;22;839;3084;20;31;152;59;126;24;105;44;162;66;0;0
AC;A2;0002;HRUŠICA-LIPCE;13000;93;11398;92;516;331;281;289;0;7168;8881;4119;20;73;7657;3741;39;53;428;88;308;23;226;55;203;86;0;0
AC;A2;0003;LIPCE-LESCE;13273;94;11855;94;310;339;287;294;0;6360;9069;4204;20;74;8006;3849;40;54;250;60;315;24;231;56;207;87;0;0
AC;A2;0007;KRANJ Z-KRANJ V;16200;56;15119;118;255;207;137;308;0;5704;12845;3355;27;29;12083;3036;91;27;167;88;193;14;81;56;203;105;0;0
AC;A2;0008;KRANJ V - BRNIK;17000;46;15880;114;485;153;49;273;0;3887;13312;3688;18;28;12487;3393;63;51;413;72;139;14;41;8;151;122;0;0
AC;A2;0009;BRNIK - VODICE;16624;45;15835;112;168;149;48;267;0;5250;13017;3607;17;28;12517;3318;62;50;97;71;136;13;40;8;148;119;0;0
AC;A2;0010;VODICE -LJ( ŠMARTNO);24200;65;22606;163;691;217;70;388;0;6968;18949;5251;25;40;17775;4831;90;73;588;103;198;19;58;12;215;173;0;0
AC;A2;0011;LJ(ŠMARTNO -  BROD);25688;58;23591;205;887;365;136;446;0;2375;22036;3652;40;18;20239;3352;143;62;814;73;350;15;128;8;322;124;0;0
AC;A2;0012;LJ(BROD-ŠENTVID);22800;51;20939;182;787;324;121;396;0;915;20498;2302;35;16;18851;2088;127;55;740;47;319;5;113;8;313;83;0;0
AC;A2;0014;LJ(KOSEZE - BRDO);66338;123;57994;472;3163;1807;743;2036;0;1850;62389;3949;102;21;54731;3263;421;51;3052;111;1768;39;706;37;1609;427;0;0
AC;A2;0015;LJ(BRDO - KOZARJE);64000;119;55948;455;3052;1744;717;1965;0;2400;60189;3811;99;20;52800;3148;406;49;2944;108;1706;38;681;36;1553;412;0;0
AC;A2;0020;MALENCE - ŠMARJE-SAP;28097;32;25477;183;781;464;223;937;0;6298;26092;2005;27;5;23868;1609;156;27;739;42;451;13;212;11;639;298;0;0
AC;A2;0021;ŠMARJE SAP-GROSUPLJE;29000;34;25635;204;1246;685;229;967;0;3869;27033;1967;28;6;23974;1661;176;28;1202;44;672;13;218;11;763;204;0;0
AC;A2;0022;GROSUPLJE-VIŠNJA GORA;22400;26;19801;158;962;529;178;746;0;7900;20881;1519;22;4;18518;1283;136;22;928;34;519;10;169;9;589;157;0;0
AC;A1;0030;M.P.ŠENTILJ-ŠENTILJ;8370;33;8231;52;54;0;0;0;0;1230;1556;6814;5;28;1494;6737;9;43;48;6;0;0;0;0;0;0;0;0
AC;A1;0031;ŠENTILJ - PESNICA;9707;38;8739;86;320;93;17;414;0;9960;3304;6403;9;29;2923;5816;14;72;136;184;45;48;12;5;165;249;0;0
HC;H2;0032;PESNICA-MARIBOR;21500;59;18714;152;650;463;160;1302;0;4630;14593;6907;51;8;12608;6106;100;52;591;59;422;41;138;22;683;619;0;0
HC;H2;0033;MARIBOR-TEZNO;29200;96;26353;179;682;508;158;1224;0;2665;23755;5445;84;12;21697;4656;109;70;620;62;469;39;133;25;643;581;0;0
