Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
AC;A1;0030;M.P.ŠENTILJ-ŠENTILJ;0;1230;674;O;QLD3;M.P. ŠENTILJ AC;8.712;32;8.456;56;150;18;0;0
AC;A1;0031;ŠENTILJ - PESNICA;0;9550;837;O;QLD3;C.P. PESNICA;10.018;40;9.280;64;240;70;12;312
AC;A1;0034;SLIVNICA;0;1700;802;P;;;22.578;52;18.396;108;1.562;812;580;1.068
AC;A1;0035;SLIVNICA-FRAM;0;1910;802;O;QLD6;C.P.HOČE;22.578;52;18.396;108;1.562;812;580;1.068
AC;A1;0036;FRAM-SL.BISTRICA;0;9740;802;P;;;19.000;44;15.482;90;1.314;684;488;898
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9110;838;O;QLD3;C.P.TEPANJE;13.700;16;11.428;74;576;554;128;924
AC;A1;0136;PRIKLJ. SL. KONJICE-MB;0;150;65;O;;C.P. SL. KONJICE-MB;1.390;16;1.177;4;68;63;22;40
AC;A1;0136;PRIKLJ. SL. KONJICE-CE;150;1670;66;O;;C.P. SL.KONJICE-CE;2.030;4;1.797;4;103;72;14;36
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10880;838;P;;;15.940;16;13.306;86;668;644;146;1.074
AC;A1;0039;DRAMLJE-CELJE;0;8440;838;P;;;16.200;16;13.526;86;680;654;148;1.090
AC;A1;0040;CELJE-ARJA VAS;0;7508;648;O;QLD6;LOPATA  - AC;22.308;56;16.970;116;1.858;1.020;652;1.636
AC;A1;0041;ARJA VAS-ŠENTRUPERT;0;9646;839;P;;;15.700;24;13.226;84;552;496;106;1.212
AC;A1;0042;ŠENTRUPERT-VRANSKO;0;7889;839;O;QLD3;C.P. VRANSKO;15.056;26;12.672;82;530;476;106;1.164
AC;A1;0043;VRANSKO-LOČICA;0;2510;839;P;;;20.000;30;16.844;108;702;632;138;1.546
AC;A1;0048;LJ (ZADOBROVA-ZALOŠKA);0;1435;179;P;;;33.088;76;29.382;38;1.532;1.152;498;410
AC;A1;0049;LJ (ZALOŠKA-LITIJSKA);0;1265;180;P;;;27.000;46;23.012;38;1.514;1.326;484;580
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3935;180;O;QLD6;VZH. OBVOZNICA;28.086;48;23.938;40;1.572;1.380;504;604
AC;A1;0019;MALENCE - LJ(DOLENJSKA C.);0;380;178;P;;;36.000;88;29.978;132;2.334;1.962;458;1.048
AC;A1;0018;LJ (DOLENJSKA - BARJANSKA);0;3940;178;O;QLD6;JUŽ. OBVOZNICA;34.254;84;28.528;124;2.218;1.868;436;996
AC;A1;0017;LJ (BARJANSKA - VIČ);0;2760;178;P;;;34.000;82;28.318;124;2.202;1.854;432;988
AC;A1;0016;LJ (VIČ - KOZARJE);0;880;178;P;;;47.000;116;39.140;170;3.046;2.564;598;1.366
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2300;170;P;;;41.000;118;34.688;150;2.990;1.192;648;1.214
AC;A1;0052;BREZOVICA-VRHNIKA;0;12405;800;O;QLD3;C.P. LJUBLJANA;31.698;108;28.652;224;800;452;170;1.292
AC;A1;0053;VRHNIKA-LOGATEC;0;8285;800;P;;;27.480;92;24.816;194;722;390;148;1.118
AC;A1;0054;LOGATEC-UNEC;0;10420;800;P;;;25.400;84;22.940;178;668;360;136;1.034
AC;A1;0055;UNEC-POSTOJNA;0;11380;807;P;;;23.400;60;20.462;146;666;382;216;1.468
AC;A1;0056;POSTOJNA-RAZDRTO;0;11140;807;O;QLD3;C.P. RAZDRTO;18.456;50;16.134;116;526;302;170;1.158
AC;A1;0057;RAZDRTO - SENOŽEČE;0;5450;812;O;;ČEBULOVICA AC;16.060;50;13.720;150;464;352;310;1.014
AC;A1;0058;SENOŽEČE -  GABRK;0;4385;812;P;;;13.400;40;11.448;126;388;294;260;844
