Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
AC;A1;0030;MP ŠENTILJ-ŠENTILJ;0;1.292;674;O;QLD3; ;MP ŠENTILJ AC;8.952;34;8.648;70;200;0;0;0
AC;A1;0031;ŠENTILJ - PESNICA;0;9.809;837;O;QLD3;03x1;CP PESNICA;10.712;40;9.426;96;380;118;50;600
AC;A1;0066;MARIBOR(PTUJSKA)-SLIVNICA;0;4.857;840;O;QLD6;03x1;PTUJSKA AC;10.140;36;8.632;64;586;170;200;452
AC;A1;0034;SLIVNICA;0;1.757;802;P; ; ; ;26.592;52;22.100;148;1.730;476;642;1.444
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD6;03x1;HOČE AC;26.592;52;22.100;148;1.730;476;642;1.444
AC;A1;0036;FRAM-SL.BISTRICA;0;9.733;802;P; ; ; ;21.100;26;16.680;134;1.776;436;598;1.450
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9.119;838;O;QLD3; ;CP TEPANJE *;17.126;20;12.508;92;1.710;564;624;1.608
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.892;833;O;QLD3; ;CP SL. KONJICE;4.462;52;3.845;8;133;214;75;135
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;838;P; ; ; ;17.180;18;12.566;82;1.638;612;644;1.620
AC;A1;0039;DRAMLJE-CELJE;0;8.437;838;P; ; ; ;20.000;24;14.660;110;1.872;840;694;1.800
AC;A1;0040;CELJE-ARJA VAS;0;7.510;648;O;QLD6;03x1;LOPATA AC;27.408;52;21.598;124;1.822;800;856;2.156
AC;A1;0041;ARJA VAS-ŠENTRUPERT;0;9.652;839;P; ; ; ;18.000;30;14.344;98;634;772;226;1.896
AC;A1;0042;ŠENTRUPERT-VRANSKO;0;7.899;839;O;QLD3; ;CP VRANSKO;16.650;28;13.388;86;564;704;158;1.722
AC;A1;0043;VRANSKO-TROJANE;0;10.080;839;P; ; ; ;21.000;34;16.646;170;1.300;450;500;1.900
AC;A1;0044;BLAGOVICA-KRTINA;0;12.259;834;O;QLD6;03x1;CP KOMPOLJE;15.188;26;12.128;148;908;248;242;1.492
AC;A1;0045;KRTINA-DOMŽALE;0;3.485;830;P; ; ; ;23.000;16;18.904;148;1.448;502;454;1.528
AC;A1;0046;DOMŽALE-ŠENTJAKOB;0;5.402;830;O;QLD6;03x1;PŠATA AC;31.122;64;25.746;240;1.956;580;588;1.948
AC;A1;0047;ŠENTJAKOB-LJ(ZADOBROVA);0;2.788;830;P; ; ; ;38.000;30;31.548;252;2.466;860;756;2.088
AC;A1;0048;LJ (ZADOBROVA-ZALOŠKA);0;1.409;179;P; ; ; ;50.000;62;43.824;200;2.582;876;712;1.744
AC;A1;0049;LJ (ZALOŠKA-LITIJSKA);0;1.277;180;P; ; ; ;44.000;34;38.434;94;2.232;1.254;704;1.248
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.979;180;O;QLD6; ;V OBVOZNICA;45.764;68;39.650;124;2.546;1.008;792;1.576
AC;A1;0019;MALENCE - LJ(DOLENJSKA C.);0;456;178;P; ; ; ;48.000;88;41.694;186;2.572;1.134;588;1.738
AC;A1;0018;LJ (DOLENJSKA - BARJANSKA);0;3.943;178;O;QLD6; ;J OBVOZNICA;47.032;120;40.248;240;2.820;848;668;2.088
AC;A1;0017;LJ (BARJANSKA - VIČ);0;2.758;178;P; ; ; ;52.000;98;45.164;202;2.788;1.228;634;1.886
AC;A1;0016;LJ (VIČ - KOZARJE);0;794;178;P; ; ; ;53.500;98;46.472;204;2.870;1.262;654;1.940
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.408;170;P; ; ; ;52.500;114;44.038;194;3.378;946;730;3.100
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;O;QLD3; ;CP LJUBLJANA;36.774;124;29.500;232;2.822;728;500;2.868
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.381;804;O;QLD3; ;CP VRHNIKA;10.372;81;9.041;151;623;173;102;201
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;800;P; ; ; ;29.500;104;23.928;190;1.800;382;400;2.696
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;O;QLD3;03x4;CP LOGATEC;3.612;34;2.984;50;212;112;75;145
AC;A1;0054;LOGATEC-UNEC;0;10.422;800;P; ; ; ;28.000;96;22.642;180;1.700;362;380;2.640
AC;A1;0152;PRIKLJ. UNEC;0;404;824;O;QLD3; ;CP UNEC-LJ;3.038;10;2.704;17;92;155;12;48
AC;A1;0152;PRIKLJ. UNEC;404;788;825;O;QLD3; ;CP UNEC-KP;891;3;703;7;38;99;8;33
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;O;QLD6; ;RAVBARKOMANDA AC;26.194;88;20.744;352;1.662;376;364;2.608
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD3; ;CP POSTOJNA-LJ;6.367;44;5.401;80;194;322;191;135
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;O;QLD3; ;CP POSTOJNA-KP;1.314;10;1.146;16;40;51;30;21
AC;A1;0056;POSTOJNA-RAZDRTO;0;11.182;820;P; ; ; ;19.000;66;13.998;234;1.628;230;200;2.644
AC;A1;0197;PRIKLJ. RAZDRTO;0;250;828;O;QLD6; ;CP Razdrto-LJ;194;1;161;2;8;6;6;10
AC;A1;0197;PRIKLJ. RAZDRTO;250;571;829;O;QLD6; ;CP Razdrto-KP;118;1;97;1;5;4;4;6
AC;A1;0057;RAZDRTO - SENOŽEČE;0;5.458;812;P; ; ; ;17.610;52;14.566;206;1.282;266;184;1.054
AC;A1;0155;PRIKLJ. SENOŽEČE;0;1.298;818;O;QLD6;03x1;CP SENOŽEČE;1.103;2;826;6;69;36;54;110
AC;A1;0058;SENOŽEČE -  GABRK;0;4.384;812;O;QLD6;03x1;ČEBULOVICA AC;16.468;56;13.828;196;1.118;170;140;960
AC;A1;0059; GABRK - DIVAČA;0;2.873;812;P; ; ; ;11.000;56;9.576;70;358;290;134;516
AC;A1;0157;PRIKLJ. DIVAČA;0;1.661;817;O;QLD6; ;CP DIVAČA;864;2;754;12;58;14;8;16
AC;A1;0060;DIVAČA-KOZINA;0;7.151;820;P; ; ; ;12.800;46;11.232;88;692;154;88;500
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD6;03x1;CP KOZINA-LJ;1.348;4;977;14;135;30;16;172
AC;A1;0158;PRIKLJ. KOZINA;700;1.793;823;O;QLD6;03x1;CP KOZINA-KP;269;4;219;2;28;6;2;8
AC;A1;0061;KOZINA-KLANEC(ČRNI KAL);0;3.894;820;O;QLD6; ;CP VIDEŽ;10.930;36;9.672;72;616;116;84;332
AC;A1;0236;KRIŽ. DEKANI-BERTOKI;0;2.146;11;P; ; ; ;45.000;190;40.890;228;2.134;562;378;618
AC;A1;0237;BERTOKI-KP(ŠKOCJAN);0;2.463;11;O;QLD6; ;BERTOKI AC;44.954;260;40.676;224;2.226;472;416;680
AC;A2;0001;MP KARAVANKE-HRUŠICA;0;5.361;673;O;;x;MP KARAVANKE;5.988;28;4.964;62;268;188;190;288
AC;A2;0002;HRUŠICA-LIPCE;0;7.154;646;P; ; ; ;14.600;74;12.652;126;940;190;148;470
AC;A2;0003;LIPCE-LESCE;0;6.298;646;O;QLD6;03x1;LIPCE AC;16.222;56;14.076;152;968;216;204;548
AC;A2;0103;ZAČASNI PRIKLJ. VRBA;0;382;646;P; ; ; ;16.222;57;14.076;151;968;216;205;549
