Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.;
AC;A1;0030;MP ŠENTILJ-ŠENTILJ;0;1.292;674;O;QLD6; ;MP Šentilj AC;9.918;8;8.866;152;774;44;14;60;
AC;A1;0031;ŠENTILJ - PESNICA;0;9.809;837;O;QLD3; ;CP Pesnica;11.372;44;9.398;130;770;50;80;900;
AC;A1;0066;MARIBOR(PTUJSKA)-SLIVNICA;0;4.857;840;O;QLD6; ;Ptujska AC;9.242;26;7.920;30;566;188;216;296;
AC;A1;0034;SLIVNICA;0;1.757;802;P; ; ; ;29.100;52;23.688;116;1.884;486;720;2.154;
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD6; ;Hoče AC;29.128;52;23.716;116;1.884;486;720;2.154;
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;802;P; ; ; ;25.000;32;19.694;100;1.800;516;708;2.150;
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7.200;9.733;802;P; ; ; ;27.000;24;21.756;90;1.700;530;700;2.200;
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9.119;838;O;QLD3; ;CP Tepanje;18.500;18;13.450;84;1.566;550;632;2.200;
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.790;833;O;QLD3; ;CP Sl. Konjice;4.918;58;4.255;9;147;227;79;143;
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;838;P; ; ; ;19.000;22;13.240;100;2.002;748;788;2.100;
AC;A1;0039;DRAMLJE-CELJE;0;8.437;838;P; ; ; ;24.000;30;17.424;138;2.340;800;868;2.400;
AC;A1;0040;CELJE-ARJA VAS;0;7.510;648;O;QLD6; ;Lopata AC;29.476;56;23.080;132;1.922;696;914;2.676;
AC;A1;0041;ARJA VAS-ŠENTRUPERT;0;9.652;839;P; ; ; ;19.200;32;14.214;104;1.300;900;400;2.250;
AC;A1;0042;ŠENTRUPERT-VRANSKO;0;7.899;839;O;QLD3; ;CP Vransko;17.882;30;13.252;100;1.000;900;350;2.250;
AC;A1;0043;VRANSKO-TROJANE;0;9.940;839;P; ; ; ;22.000;34;16.588;184;1.548;650;596;2.400;
AC;A1;0044;BLAGOVICA-KRTINA;0;12.259;834;O;QLD6; ;CP Kompolje;16.936;32;13.186;148;1.040;268;296;1.966;
AC;A1;0045;KRTINA-DOMŽALE;0;3.485;830;P; ; ; ;25.300;18;20.374;164;1.592;552;500;2.100;
AC;A1;0046;DOMŽALE-ŠENTJAKOB;0;5.402;830;O;QLD6; ;Pšata AC;34.588;64;28.318;152;2.288;568;672;2.526;
AC;A1;0047;ŠENTJAKOB-LJ(ZADOBROVA);0;2.788;830;P; ; ; ;40.500;32;33.466;268;2.628;700;806;2.600;
AC;A1;0048;LJ (ZADOBROVA-ZALOŠKA);0;1.409;179;P; ; ; ;53.200;66;46.628;212;2.748;932;758;1.856;
AC;A1;0049;LJ (ZALOŠKA-LITIJSKA);0;1.277;180;P; ; ; ;47.000;36;41.028;100;2.384;1.000;752;1.700;
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.979;180;O;QLD6; ;V Obvoznica;49.190;68;42.710;124;2.660;1.036;780;1.812;
AC;A1;0019;MALENCE - LJ(DOLENJSKA C.);0;456;178;P; ; ; ;51.200;94;44.136;198;2.744;1.100;628;2.300;
AC;A1;0018;LJ (DOLENJSKA - BARJANSKA);0;3.943;178;O;QLD6; ;J Obvoznica;49.920;134;42.030;244;3.424;840;724;2.524;
AC;A1;0017;LJ (BARJANSKA - VIČ);0;2.758;178;P; ; ; ;54.000;102;46.984;210;2.896;900;658;2.250;
AC;A1;0016;LJ (VIČ - KOZARJE);0;794;178;P; ; ; ;55.400;100;48.090;212;2.972;1.000;676;2.350;
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.408;170;P; ; ; ;54.500;118;45.434;200;3.508;982;758;3.500;
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;O;QLD3; ;CP Ljubljana;38.774;100;31.752;252;2.500;390;430;3.350;
