Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.
AC;A1;0030;MP ŠENTILJ-ŠENTILJ;0;1.292;674;O;QLD6;;MP Šentilj AC;10.401;30;9.360;144;766;34;13;54
AC;A1;0031;ŠENTILJ - PESNICA;0;9.809;837;O;QLD3;;CP Pesnica;12.299;49;10.378;144;850;43;68;767
AC;A1;0066;MB(PTUJSKA)-ROGOZA;0;2.650;840;O;QLD6;;Ptujska AC;9.443;27;8.079;24;608;191;236;278
AC;A1;0066;ROGOZA-SLIVNICA;2.650;4.857;;P;;;;8.900;35;7.735;30;390;140;210;360
AC;A1;0034;SLIVNICA;0;1.757;;P;;;;30.800;55;24.575;110;1.970;470;750;2.870
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD6;;Hoče AC;30.827;55;24.597;110;1.968;474;748;2.875
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;;P;;;;29.000;40;23.500;100;1.460;350;750;2.800
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7.200;9.733;;P;;;;30.000;55;25.345;100;1.330;230;460;2.480
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9.119;838;O;QLD3;;CP Tepanje;19.800;50;14.970;80;1.500;600;600;2.000
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.790;833;O;QLD3;;CP Sl. Konjice;5.434;64;4.681;10;162;261;91;165
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;;P;;;;21.000;24;15.026;111;2.213;827;800;2.000
AC;A1;0039;DRAMLJE-CELJE;0;8.437;;P;;;;26.000;34;18.979;155;2.632;800;900;2.500
AC;A1;0040;CELJE-MEDLOG;0;5.410;648;O;QLD6;;Lopata AC;30.697;59;23.463;122;2.087;649;991;3.326
AC;A1;0040;MEDLOG-ARJA VAS;5.410;7.510;;P;;;;35.000;70;27.250;140;2.300;750;1.090;3.400
AC;A1;0041;ARJA VAS-ŠEMPETER;0;7.510;;P;;;;30.000;60;23.870;90;1.260;680;690;3.350
AC;A1;0041;ŠEMPETER-ŠENTRUPERT;7.510;9.652;;P;;;;28.000;60;22.130;110;1.160;650;590;3.300
