Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Leto roč.  štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci
AC;A1;0030;MP ŠENTILJ-POČIVALIŠČE ŠENTILJ;0;460;674;MP Šentilj AC;QLD-6;;12.808;31;10.002;143;994;106;125;608;799
AC;A1;0030;POČIVALIŠČE ŠENTILJ-ŠENTILJ;460;1.137;869;Šentilj AC;QLD-6;;12.358;30;9.627;143;962;102;120;599;775
AC;A1;0128;PRIKLJ.ŠENTILJ-MP;0;1.444;868;Priklj. Šentilj-MP;QLD-6;;446;1;370;1;32;4;5;9;24
AC;A1;0031;ŠENTILJ- PESNICA;0;9.761;837;CP Pesnica;QLD-3;;16.500;46;13.114;197;1.251;100;77;617;1.098
AC;A1;0065;PESNICA-DRAGUČOVA;0;2.570;;;P;;17.400;31;11.617;89;1.433;259;437;594;2.940
AC;A1;0066;MB(PTUJSKA)-ROGOZA;0;2.650;840;Ptujska AC;QLD-6;;11.262;34;8.932;26;884;192;556;218;420
AC;A1;0066;ROGOZA-SLIVNICA;2.650;4.857;;;P;;9.000;35;7.165;20;700;130;400;170;380
AC;A1;0034;SLIVNICA;0;1.757;;;P;;35.900;65;27.069;190;2.676;580;760;1.570;2.990
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;Hoče AC;QLD-6;;35.890;66;27.032;198;2.676;586;768;1.570;2.994
AC;A1;0134;PRIKLJ. FRAM;0;1.000;848;Priklj. Fram-Mb;QLD;;5.342;5;4.781;6;310;60;73;18;89
AC;A1;0134;PRIKLJ. FRAM;1.000;1.368;849;Priklj. Fram-Ce;QLD;;1.852;1;1.811;1;24;5;4;1;5
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;2005;Polskava AC;QLD-6;;33.046;60;24.498;190;2.508;550;730;1.560;2.950
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7.200;9.733;2006;Sl.Bistrica AC;QLD-3;;35.846;66;26.967;198;2.673;585;767;1.600;2.990
AC;A1;0135;PRIKLJ. SL. BISTRICA J;0;400;856;Priklj. Sl.Bistrica-Mb;QLD-3;;10.058;18;8.340;30;750;450;150;150;170
AC;A1;0135;PRIKLJ. SL. BISTRICA J ;400;1.638;857;Priklj. Sl.Bistrica-Ce;QLD-3;;3.014;6;2.551;17;225;75;40;40;60
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;8.720;2002;Tepanje AC;QLD-3;;31.000;60;22.704;123;2.214;511;888;1.550;2.950
AC;A1;0037;SL.KONJICE-CP TEPANJE;8.720;9.119;838;CP Tepanje;QLD-3;;26.500;45;19.304;115;1.628;356;652;1.500;2.900
AC;A1;0136;PRIKLJ. SL. KONJICE;0;900;844;CP Sl.Konjice-MB;QLD-3;;4.500;42;3.620;9;462;172;85;50;60
AC;A1;0136;PRIKLJ. SL. KONJICE;900;1.790;845;CP Sl.Konjice-CE;QLD-3;;3.389;34;2.997;3;39;148;38;60;70
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;2003;Škedenj AC;QLD-3;;27.904;60;19.612;122;2.194;506;880;1.560;2.970
AC;A1;0137;DRAMLJE-MB;0;600;846;Dramlje-MB;QLD-3;;1.465;17;1.061;4;207;68;25;33;50
AC;A1;0137;DRAMLJE-CE;600;1.115;847;Dramlje-CE;QLD-3;;5.160;39;3.911;9;578;210;163;100;150
AC;A1;0039;DRAMLJE-LJUBEČNA;0;6.240;2004;Žepina AC;QLD-3;;31.599;67;22.591;138;2.484;573;996;1.650;3.100
AC;A1;0039;LJUBEČNA-CELJE;6.240;8.437;;;P;;33.000;70;23.970;160;2.250;600;1.000;1.800;3.150
AC;A1;0040;CELJE-CELJE ZAHOD;0;5.410;648;Lopata AC;QLD-6;;38.102;74;27.530;196;3.300;664;1.188;1.950;3.200
AC;A1;0040;CELJE ZAHOD-ARJA VAS;5.410;7.510;;;P;;42.600;70;31.780;200;3.500;770;1.300;1.900;3.080
AC;A1;0041;ARJA VAS-ŠEMPETER;0;7.510;;;P;;36.700;65;26.250;175;3.350;760;900;2.050;3.150
AC;A1;0041;ŠEMPETER-ŠENTRUPERT;7.510;9.652;;;P;;33.000;60;23.050;190;3.250;600;800;2.000;3.050
AC;A1;0042;ŠENTRUPERT-VRANSKO;0;7.899;839;CP Vransko;QLD-3;;35.000;45;26.278;181;2.495;338;763;1.900;3.000
AC;A1;0043;VRANSKO-TROJANE;0;9.940;836;Jasovnik AC;QLD-6;;33.000;52;23.610;194;2.858;462;724;1.930;3.170
AC;A1;0067;TROJANE- BLAGOVICA;0;8.683;2001;Šentožbolt AC;QLD-6;;35.600;74;26.128;380;3.248;430;653;1.210;3.477
AC;A1;0142;PRIKLJ.BLAGOVICA;0;200;842;CP Blagovica-CE;QLD-6;;285;0;234;2;23;10;6;3;7
AC;A1;0142;PRIKLJ. BLAGOVICA;200;529;843;CP Blagovica-LJ;QLD-6;;951;2;796;7;63;18;13;15;37
AC;A1;0044;BLAGOVICA-LUKOVICA;0;8.830;834;CP Kompolje;QLD-6;;36.500;76;26.899;386;3.311;444;664;1.220;3.500
AC;A1;0044;LUKOVICA-KRTINA;8.830;12.465;;;P;;37.700;20;28.155;385;3.320;450;670;1.200;3.500
AC;A1;0169;PRIKLJ. LUKOVICA;0;2.279;831;CP Lukovica-Lj;QLD-6;;1.279;4;1.158;3;68;11;7;7;21
AC;A1;0143;PRIKLJ. KRTINA;0;761;835;CP Krtina-Lj;QLD-6;;4.500;13;4.122;6;235;27;33;15;49
AC;A1;0045;KRTINA-DOMŽALE;0;3.485;;;P;;40.000;80;29.850;220;3.450;530;820;1.900;3.150
AC;A1;0046;DOMŽALE-ŠENTJAKOB;0;5.402;830;Pšata AC;QLD-6;;49.000;90;38.522;222;3.780;542;796;1.900;3.148
AC;A1;0047;ŠENTJAKOB-SNEBERJE;0;1.170;;;P;;62.000;100;50.470;230;4.500;800;830;1.920;3.150
AC;A1;0047;SNEBERJE-LJ(ZADOBRAVA);1.170;2.866;;;P;;63.500;110;51.740;230;4.600;920;750;1.950;3.200
AC;A1;0048;LJ (ZADOBROVA-ZALOŠKA);0;1.330;;;P;;77.000;95;66.205;180;5.000;870;1.150;1.100;2.400
AC;A1;0049;LJ (ZALOŠKA-LITIJSKA);0;1.277;;;P;;65.000;100;54.980;170;4.500;900;1.070;1.030;2.250
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.979;180;V Obvoznica;QLD-6;;60.026;96;50.176;160;4.294;964;1.120;1.014;2.202
AC;A1;0019;LJ (MALENCE-DOLENJSKA);0;456;;;P;;61.000;110;50.160;240;4.250;820;970;1.350;3.100
AC;A1;0018;LJ DOLENJSKA- PERUZIJEVA;0;2.110;;;P;;55.000;120;45.500;210;3.500;650;920;1.300;2.800
AC;A1;0018;PERUZIJEVA-BARJANSKA;2.110;3.943;178;J Obvoznica;QLD-6;;59.992;134;48.092;278;5.288;848;1.000;1.356;2.996
AC;A1;0017;LJ (BARJANSKA- VIČ);0;2.758;;;P;;57.500;140;45.810;280;5.000;780;990;1.400;3.100
AC;A1;0016;LJ (VIČ- KOZARJE);0;794;;;P;;68.000;210;55.250;350;5.300;940;1.150;1.500;3.300
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.408;;;P;;66.000;120;52.890;300;4.300;890;1.000;2.150;4.350
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;CP Ljubljana;QLD-3;;54.000;140;41.524;372;4.370;496;884;2.090;4.124
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.120;858;CP Vrhnika - Lj;QLD-3;;11.170;30;9.664;52;698;218;223;90;195
AC;A1;0150;PRIKLJ. VRHNIKA;1.120;1.381;859;CP Vrhnika - Kp;QLD-3;;2.129;6;1.801;10;133;42;43;39;55
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;2103;Verd AC;QLD-3;;45.000;112;34.054;297;3.486;396;705;1.966;3.984
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;CP Logatec;QLD-3;;9.000;66;7.476;11;773;262;62;100;250
AC;A1;0054;LOGATEC-UNEC;0;10.422;2104;Lom AC;QLD-3;;39.712;106;28.813;282;3.307;375;669;2.050;4.110
AC;A1;0152;PRIKLJ. UNEC;0;404;824;CP Unec-LJ;QLD-3;;3.985;13;3.515;23;119;175;80;24;36
AC;A1;0152;PRIKLJ. UNEC;404;788;825;CP Unec-KP;QLD-3;;1.760;4;1.423;14;68;132;69;20;30
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;Ravbarkomanda AC;QLD-6;;37.528;104;26.770;330;3.166;432;592;2.034;4.100
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;CP Postojna-LJ;QLD-3;;7.772;52;6.566;95;232;189;265;111;262
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;CP Postojna-KP;QLD-3;;3.300;24;2.869;40;99;141;82;15;30
AC;A1;0056;POSTOJNA-RAZDRTO;0;9.370;2105;Studenec AC;QLD-3;;32.326;90;22.453;284;2.727;372;510;2.000;3.890
AC;A1;0056;RAZDRTO-NANOS;9.370;11.182;2106;Razdrto AC;QLD-3;;32.562;83;23.094;308;2.571;330;316;2.000;3.860
