Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
AC;A1;0030;MP ŠENTILJ - POČIVALIŠČE ŠENTILJ;0;460;674;MT Šentilj AC;QLD6;14.200;41;11.157;89;1.040;163;120;255;1.335;14.185.799;PLDP 
AC;A1;0030;POČIVALIŠČE ŠENTILJ - ŠENTILJ;460;1.137;869;Šentilj AC;QLTC8;14.052;40;11.052;89;1.025;162;118;249;1.317;13.984.738;PLDP
AC;A1;0128;PRIKLJ.ŠENTILJ - MP;0;1.580;868;Prik. Šentilj - MP;QLD6;323;1;268;0;23;3;2;6;20;222.960;PLDP
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;CP Pesnica;QLD3;19.019;65;15.179;225;1.200;170;130;350;1.700;18.852.024;PLDP
AC;A1;0065;PESNICA - DRAGUČOVA;0;2.570;;;P;20.700;60;16.630;210;1.350;230;210;330;1.680;18.886.861;PLDP
AC;A1;0071;DRAGUČOVA - MB (ZRKOVSKA);0;4.470;889;Malečnik AC;QLTC8;28.233;71;18.620;284;3.085;580;221;862;4.510;47.256.967;PLDP
AC;A1;0071;MB (ZRKOVSKA) - MB (PTUJSKA);4.470;7.770;;;P;28.300;65;18.600;285;3.050;600;250;850;4.600;48.045.786;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.650;840;Ptujska AC;QLTC8;35.682;64;25.112;290;3.652;670;326;840;4.728;49.494.027;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.650;4.857;;;P;34.100;70;23.905;275;3.500;600;320;830;4.600;48.060.716;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;41.400;80;30.540;240;4.140;820;380;840;4.360;46.851.360;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoče AC;QLTC8;41.390;91;30.523;236;4.137;826;382;837;4.358;46.808.560;PLDP
AC;A1;0134;PRIKL. FRAM  -  MB;0;1.000;848;Priključek Fram - Mb;QLTC8;6.105;14;4.774;17;427;93;73;104;603;6.280.192;PLDP
AC;A1;0134;PRIKL. FRAM  -  CE;1.000;1.368;849;Priključek Fram - Ce;QLTC8;2.308;4;1.381;14;229;55;35;82;508;5.081.785;PLDP
AC;A1;0036;FRAM - SL.BISTRICA - SEVER;0;7.200;2005;Polskava AC;QLTC8;37.595;81;27.132;233;3.938;787;345;816;4.263;45.618.613;PLDP
AC;A1;0036;SL.BISTRICA - SEVER - JUG;7.200;9.733;2006;Sl.Bistrica AC;QLD3;38.995;85;28.460;260;4.000;740;400;850;4.200;45.627.073;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J;0;400;856;Priključek Sl.Bistrica - Mb;QLD3;9.121;20;7.521;35;700;400;135;140;170;4.377.074;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J;400;1.638;857;Priključek Sl.Bistrica - Ce;QLD3;4.143;10;3.493;25;350;90;55;50;70;1.555.242;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;8.720;2002;Tepanje AC;QLD3;34.017;75;24.482;230;3.600;430;350;750;4.100;42.725.613;PLDP
AC;A1;0037;SL.KONJICE - CP TEPANJE;8.720;9.119;838;CP Tepanje;QLD3;29.188;65;20.213;220;3.100;490;320;730;4.050;42.173.191;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE;0;900;844;CP Sl.Konjice-MB;QLD3;4.829;45;3.884;15;500;170;85;45;85;1.983.245;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE;900;1.790;845;CP Sl.Konjice-CE;QLD3;3.674;40;2.974;10;300;150;45;60;95;1.948.407;PLDP
