Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
AC;A1;0030;MP ŠENTILJ - POČIVALIŠČE ŠENTILJ;0;482;674;MT Šentilj AC;QLD*;21.630;47;16.751;124;1.660;199;140;339;2.370;2363;PLDP
AC;A1;0030;POČIVALIŠČE ŠENTILJ - ŠENTILJ;482;1.137;869;Šentilj AC;QLTC8;21.400;45;16.601;122;1.607;196;138;337;2.354;2345;PLDP
AC;A1;0128;PRIKLJ.ŠENTILJ - MP ŠENTILJ;0;1.646;868;Priklj. Šentilj MP;QLD6;437;1;371;1;38;3;2;4;17;19;PLDP
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;26.475;62;20.931;219;2.330;180;85;395;2.273;2371;PLDP
AC;A1;0065;PESNICA - DRAGUČOVA;0;2.570;;;P;26.700;65;21.090;240;2.400;170;110;375;2.250;2358;PLDP
AC;A1;0071;DRAGUČOVA - MB (ZRKOVSKA);0;4.452;889;Malečnik AC;QLTC8;34.554;91;23.417;318;3.749;600;192;1.026;5.161;5419;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;34.700;100;23.385;310;3.800;610;255;940;5.300;5481;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;40.443;106;28.200;302;4.473;621;309;896;5.536;5651;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;37.900;110;25.720;300;4.300;760;280;870;5.560;5680;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;44.410;100;32.575;255;4.770;725;355;800;4.830;5024;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoče AC;QLTC8;44.407;100;32.571;255;4.771;725;355;798;4.832;5024;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.498;23;5.127;25;490;79;66;118;570;615;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;2.572;50;1.660;22;279;42;29;89;401;430;PLDP
