STM;STM_NAC;IVRC;CESTA;ODSEK;OPIS;PLDP;Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;STAC_ZAC;STAC_KON;PLDP_D;PLDP_T;MO_D;MO_T;OA_D;OA_T;BUS_D;BUS_T;LT_D;LT_T;ST_D;ST_T;TT_D;TT_T;TP_D;TP_T;motorji;osebna;bus;lahki;srednji;tezki;tp
673;O;AC;A 1;0001;M.P.KARAVANKE-HRUSICA;4984;24;4130;54;222;158;156;240;0;5360;1479;3505;1;23;884;3246;21;33;160;62;133;25;110;46;170;70;24;4130;54;222;158;156;240
1;P;AC;A 1;0002;HRUSICA-LIPCE;11042;79;9679;78;439;282;239;246;0;7168;7543;3499;17;62;6502;3177;33;45;364;75;262;20;192;47;173;73;79;9679;78;439;282;239;246
1;O;AC;A 1;0003;LIPCE-LESCE;11082;79;9716;78;440;283;240;246;0;6360;7571;3511;17;62;6527;3189;33;45;365;75;263;20;193;47;173;73;79;9716;78;440;283;240;246
851;O;AC;A 1;0007;KRANJ Z-KRANJ V;16161;56;14432;118;654;506;87;308;0;5704;12813;3348;27;29;11353;3079;91;27;566;88;492;14;81;6;203;105;56;14432;118;654;506;87;308
850;P;AC;A 1;0008;KRANJ V - BRNIK;17576;47;16420;118;501;158;50;282;0;3887;13763;3813;18;29;12911;3509;65;53;427;74;144;14;42;8;156;126;47;16420;118;501;158;50;282
850;O;AC;A 1;0009;BRNIK - VODICE;16222;44;15153;109;463;146;47;260;0;5250;12702;3520;17;27;11915;3238;60;49;394;69;133;13;39;8;144;116;44;15153;109;463;146;47;260
850;P;AC;A 1;0010;VODICE - SMARTNO;23816;63;22249;159;680;215;68;382;0;6968;18649;5167;24;39;17495;4754;88;71;579;101;195;20;57;11;211;171;63;22249;159;680;215;68;382
852;O;AC;A 1;0011;SMARTNO - BROD;24151;56;22518;139;726;305;84;323;0;2375;20702;3449;44;12;19254;3264;84;55;698;28;290;15;80;4;252;71;56;22518;139;726;305;84;323
852;P;AC;A 1;0012;BROD-SENTVID(LJ);21505;50;20048;125;647;272;75;288;0;915;19802;1703;39;11;18477;1571;111;14;622;25;258;14;71;4;224;64;50;20048;125;647;272;75;288
170;O;AC;A 1;0014;LJ(KOSEZE) - LJ(BRDO);57775;107;50916;246;2202;1763;493;2048;0;1850;54762;3013;84;23;48472;2444;225;21;2141;61;1733;30;469;24;1638;410;107;50916;246;2202;1763;493;2048
170;P;AC;A 1;0015;LJ(BRDO) - LJ(KOZARJE);56650;105;49927;241;2158;1729;482;2008;0;2830;53697;2953;83;22;47530;2397;220;21;2099;59;1700;29;459;23;1606;402;105;49927;241;2158;1729;482;2008
178;P;AC;A 1;0016;LJ(KOZARJE) - LJ(VIC);19570;22;17210;72;912;540;127;687;0;450;18287;1283;20;2;16132;1078;59;13;869;43;527;13;123;4;557;130;22;17210;72;912;540;127;687
178;O;AC;A 1;0017;LJ(VIC) - LJ(BARJANSKA);28757;33;25287;105;1341;795;185;1011;0;2760;26871;1886;30;3;23703;1584;87;18;1277;64;775;20;180;5;819;192;33;25287;105;1341;795;185;1011
178;P;AC;A 1;0018;LJ(BARJANSKA) - LJ(DOLENJSKA);22660;26;19928;83;1056;625;146;796;0;3940;21175;1485;24;2;18680;1248;68;15;1006;50;610;15;142;4;645;151;26;19928;83;1056;625;146;796
178;P;AC;A 1;0019;LJ(DOLENJSKA C.)-MALENCE;22660;26;19928;83;1056;625;146;796;0;380;21175;1485;24;2;18680;1248;68;15;1006;50;610;15;142;4;645;151;26;19928;83;1056;625;146;796
645;P;AC;A 1;0020;MALENCE - SMARJE-SAP;25080;27;23367;253;473;411;86;463;0;6298;22491;2589;22;5;21123;2244;230;23;410;63;369;42;63;23;274;189;27;23367;253;473;411;86;463
645;O;AC;A 1;0021;SMARJE SAP-GROSUPLJE;26277;29;24035;264;745;490;130;584;0;3869;22918;3359;23;6;21187;2848;240;24;629;116;446;44;106;24;287;297;29;24035;264;745;490;130;584
645;P;AC;A 1;0022;GROSUPLJE-VISNJA GORA;21318;23;19862;215;402;349;74;393;0;7900;19117;2201;19;4;17955;1907;195;20;348;54;313;36;54;20;233;160;23;19862;215;402;349;74;393
674;O;AC;A 10;0030;M.P.SENTILJ-SENTILJ;10594;41;10283;67;182;21;0;0;0;1230;1970;8624;6;35;1877;8406;12;55;61;121;14;7;0;0;0;0;41;10283;67;182;21;0;0
837;O;AC;A 10;0031;SENTILJ - PESNICA;9405;34;8944;28;43;10;6;340;0;9960;1068;8337;2;32;944;8000;4;24;37;6;7;3;4;2;70;270;34;8944;28;43;10;6;340
