st_mesto;priv_stm;st_tocka;CESTA;ODSEK;OPIS;PLDP;Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;STAC_ZAC;STAC_KON;PLDP_D;PLDP_T;MO_D;MO_T;OA_D;OA_T;BUS_D;BUS_T;LT_D;LT_T;ST_D;ST_T;TT_D;TT_T;TP_D;TP_T;TR;KO
674;O;100;A1;0030;M.P.SENTILJ-SENTILJ;8238;33;8205;0;0;0;0;0;0;1230;1502;6736;5;28;1497;6708;0;0;0;0;0;0;0;0;0;0;0;0
837;O;7560;A1;0031;SENTILJ - PESNICA;10096;39;9233;69;115;75;232;333;0;9960;3625;6471;9;30;3137;6096;11;58;109;6;36;39;190;42;133;200;0;0
802;P;;A1;0034;SLIVNICA;21332;30;18548;266;205;720;537;1026;0;1700;19492;1840;29;1;17502;1046;242;24;202;3;709;11;515;22;293;733;0;0
802;O;0;A1;0035;SLIVNICA-FRAM;21332;30;17258;266;1545;670;537;1026;0;1910;19447;1885;29;1;15707;1551;242;24;1492;53;649;21;515;22;813;213;0;0
802;P;;A1;0036;FRAM-SL.BISTRICA;19000;27;16521;236;183;642;478;913;0;9740;17362;1638;26;1;15590;931;215;21;180;3;632;10;458;20;261;652;0;0
838;O;8000;A1;0037;SL.BISTRICA-SL.KONJICE;13909;14;11419;74;575;365;319;1143;0;9110;12127;1782;9;5;10282;1137;64;10;563;12;345;20;212;107;652;491;0;0
838;P;;A1;0038;SL.KONJICE-DRAMLJE;16190;17;13497;87;684;658;149;1098;0;10880;14147;2043;11;6;12174;1323;75;12;656;28;634;24;141;8;456;642;0;0
65;O;50;A1;0136;PRIKLJ. SL. KONJICE;1560;18;1321;4;76;71;25;45;0;150;1509;51;18;0;1279;42;3;1;75;1;71;0;25;0;38;7;0;0
66;O;150;A1;0136;PRIKLJ. SL. KONJICE;2280;4;2020;4;115;81;16;40;150;1670;2246;34;4;0;1988;32;4;0;114;1;81;0;16;0;39;1;0;0
838;P;;A1;0039;DRAMLJE-CELJE;16500;17;13758;88;696;670;152;1119;0;8440;14418;2082;11;6;12409;1349;76;12;668;28;646;24;144;8;464;655;0;0
648;O;2500;A1;0040;CELJE-ARJA VAS;21976;43;16796;393;1671;964;626;1483;0;7508;19800;2176;40;3;15234;1562;370;23;1620;51;940;24;571;55;1025;458;0;0
839;P;;A1;0041;ARJA VAS-SENTRUPERT;15500;24;13062;84;543;488;106;1193;0;9646;13586;1914;19;5;11900;1162;62;22;521;22;463;25;101;5;520;673;0;0
839;O;5600;A1;0042;SENTRUPERT-VRANSKO;15171;24;12525;82;450;512;410;1168;0;7889;13230;1941;19;5;11247;1278;60;22;398;52;488;24;359;51;659;509;0;0
839;P;;A1;0043;VRANSKO-LOCICA;20000;31;16856;108;700;629;137;1539;0;2510;17533;2467;25;6;15357;1499;80;28;672;28;597;32;131;6;671;868;0;0
179;P;;A1;0048;ZADOBROVA-ZALOSKA;24000;32;22339;20;270;794;316;229;0;1435;23528;472;31;1;22097;242;20;0;270;0;794;0;316;0;0;229;0;0
180;P;;A1;0049;ZALOSKA-LITIJSKA;24000;19;21440;29;308;1258;460;486;0;1265;23767;233;18;1;21208;232;29;0;308;0;1258;0;460;0;486;0;0;0
180;O;1600;A1;0050;LITIJSKA-MALENCE;24613;20;21987;30;316;1290;472;498;0;3935;24374;239;19;1;21749;238;30;0;316;0;1290;0;472;0;498;0;0;0
178;P;;A1;0619;MALENCE - LJ(DOLENJSKA C.);35000;57;30736;129;522;1931;500;1125;0;380;31965;3035;20;37;28728;2008;96;33;502;20;1889;42;477;23;253;872;0;0
178;P;;A1;0618;LJ(DOLENJSKA - BARJANSKA);33000;53;28981;121;492;1820;472;1061;0;3940;30139;2861;18;35;27088;1893;90;31;473;19;1781;39;450;22;239;822;0;0
