Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. Konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
AC;A1;0030;MP SENTILJ-SENTILJ;0;1.230;674;O;QLD3;M.P. SENTILJ AC;8.454;32;8.204;54;164;0;0;0;1
AC;A1;0031;SENTILJ - PESNICA;0;9.900;837;O;QLD3;C.P. PESNICA;9.994;40;9.284;62;230;66;12;300;4
AC;A1;0066;MARIBOR(PTUJSKA)-SLIVNICA;0;4.930;840;O;QLD6;PTUJSKA AC;12.170;12;9.896;84;738;300;372;768;6.5
AC;A1;0034;SLIVNICA;0;1.700;802;P;;;23.382;32;19.542;112;1.492;512;584;1.108;8
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD6;HOCE AC;23.382;32;19.542;112;1.492;512;584;1.108;10
AC;A1;0036;FRAM-SL.BISTRICA;0;9.740;802;P;;;19.500;26;16.302;92;1.244;426;486;924;13
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9.110;838;O;QLD3;C.P. TEPANJE;13.532;16;11.202;76;590;568;132;948;17
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.897;833;O;QLD3;C.P. SLOV. KONJICE;3.693;45;3.316;7;115;106;37;67;19
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.880;838;P;;;15.630;18;12.940;88;682;656;152;1.094;20
AC;A1;0039;DRAMLJE-CELJE;0;8.440;838;P;;;17.000;20;14.076;94;742;714;164;1.190;23
AC;A1;0040;CELJE-ARJA VAS;0;7.508;648;O;QLD6;LOPATA  - AC;23.438;58;17.828;122;1.952;1.072;686;1.720;26
AC;A1;0041;ARJA VAS-SENTRUPERT;0;9.646;839;P;;;16.000;28;13.460;88;565;507;112;1.240;30
