Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
AC;A1;0030;MP SENTILJ-SENTILJ;0;1.230;674;O;QLD3;97x4;MP SENTILJ AC;8.475;32;8.225;54;164;0;0;0;1
AC;A1;0031;SENTILJ - PESNICA;0;9.900;837;O;QLD3;98x4;CP PESNICA;10.070;39;9.045;60;224;123;23;556;4
AC;A1;0066;MARIBOR(PTUJSKA)-SLIVNICA;0;4.930;840;O;QLD6;x;PTUJSKA AC;10.118;28;8.524;64;590;196;216;500;8
AC;A1;0034;SLIVNICA;0;1.700;802;P;;;;24.800;34;20.726;118;1.584;542;620;1.176;12
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD6;98x4;HOCE AC;24.814;40;20.760;132;1.530;484;584;1.284;14
AC;A1;0036;FRAM-SL.BISTRICA;0;9.740;802;P;;;;20.000;26;16.724;94;1.276;436;498;946;17
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;9.110;838;O;QLD3;98x4;CP TEPANJE *;16.158;18;12.684;86;668;930;218;1.554;21
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.897;833;O;QLD3;x;CP SLOV. KONJICE;4.040;47;3.483;7;121;193;67;122;23
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.880;838;P;;;;15.800;18;13.084;88;690;662;154;1.104;24
AC;A1;0039;DRAMLJE-CELJE;0;8.440;838;P;;;;17.200;20;14.244;94;750;722;166;1.204;27
AC;A1;0040;CELJE-ARJA VAS;0;7.508;648;O;QLD6;98x4;LOPATA  - AC;25.306;32;19.748;100;1.926;748;768;1.984;30
AC;A1;0041;ARJA VAS-SENTRUPERT;0;9.646;839;P;;;;17.500;30;14.720;96;618;556;122;1.358;34
AC;A1;0042;SENTRUPERT-VRANSKO;0;7.889;839;O;QLD3;98x4;CP VRANSKO;16.073;26;12.895;83;542;689;154;1.684;37
AC;A1;0043;VRANSKO-TROJANE;0;10.480;839;P;;;;20.000;34;16.816;110;708;636;142;1.554;40
AC;A1;1501;ZAC. PRIKLJ. KOMPOLJE;0;320;834;P;;;;14.912;34;11.647;153;926;346;377;1.429;41.2
AC;A1;0044;(BLAGOVICA) KOMPOLJE-KRTINA;0;6.522;834;O;QLD6;x;CP KOMPOLJE;14.932;34;11.647;153;926;346;397;1.429;41.3
AC;A1;0045;KRTINA-DOMZALE;0;3.500;830;P;;;;22.500;16;18.306;152;1.482;514;466;1.564;43
AC;A1;0046;DOMZALE-SENTJAKOB;0;5.390;830;O;QLD6;x;PSATA AC;27.090;48;22.196;196;1.746;560;552;1.792;46
AC;A1;0047;SENTJAKOB-LJ(ZADOBROVA);0;2.767;830;P;;;;41.000;32;34.040;272;2.660;928;816;2.252;49
AC;A1;0048;LJ (ZADOBROVA-ZALOSKA);0;1.435;179;P;;;;54.000;66;48.544;84;2.788;946;770;802;53
AC;A1;0049;LJ (ZALOSKA-LITIJSKA);0;1.265;180;P;;;;46.000;36;40.184;98;2.334;1.310;734;1.304;56
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.935;180;O;QLD6;x;V OBVOZNICA;42.722;48;36.896;108;2.306;1.032;724;1.608;59
AC;A1;0019;MALENCE - LJ(DOLENJSKA C.);0;380;178;P;;;;45.500;84;39.524;176;2.438;1.074;556;1.648;63
AC;A1;0018;LJ (DOLENJSKA - BARJANSKA);0;3.940;178;O;QLD6;98x12;J OBVOZNICA;45.230;100;38.734;204;2.692;888;608;2.004;66
AC;A1;0017;LJ (BARJANSKA - VIC);0;2.760;178;P;;;;51.000;96;44.296;198;2.734;1.204;622;1.850;70
AC;A1;0016;LJ (VIC - KOZARJE);0;880;178;P;;;;52.800;98;45.862;202;2.832;1.246;646;1.914;73
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.300;170;P;;;;51.200;112;44.532;190;3.296;924;712;1.434;74
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.405;800;O;QLD3;97x12;CP LJUBLJANA;35.146;116;31.105;221;785;693;258;1.968;77
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.472;804;O;QLD3;x;CP VRHNIKA;9.839;43;8.895;103;310;256;67;165;79
AC;A1;0053;VRHNIKA-LOGATEC;0;8.285;800;P;;;;25.300;88;23.074;164;582;328;124;940;80
AC;A1;0151;PRIKLJ. LOGATEC;0;2.482;805;O;QLD3;x;CP LOGATEC;3.475;15;3.030;35;105;153;40;97;82
AC;A1;0054;LOGATEC-UNEC;0;10.420;800;P;;;;23.000;80;20.978;148;530;298;112;854;83
AC;A1;0152;PRIKLJ. UNEC;0;800;824;O;QLD3;x;CP UNEC-LJ;2.921;10;2.594;16;88;153;12;48;85
AC;A1;0152;PRIKLJ. UNEC;800;916;825;O;QLD3;x;CP UNEC-KP;877;3;703;7;38;90;7;29;85
AC;A1;0055;UNEC-POSTOJNA;0;11.380;822;O;QLD6;x;RAVBARKOMANDA AC;25.032;72;19.806;332;1.614;388;344;2.476;87
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD3;x;CP POSTOJNA-LJ;6.290;44;5.356;79;193;307;182;129;88
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.322;827;O;QLD3;x;CP POSTOJNA-KP;1.267;9;1.099;15;38;53;31;22;88
AC;A1;0056;POSTOJNA-RAZDRTO;0;11.140;820;P;;;;18.000;62;15.884;126;974;218;126;610;90
