Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. (avt.) stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.
AC;A1;0030;MP SENTILJ-POCIVALISCE SENTILJ;0;460;674;O;QLD-6;;MP Sentilj AC;11.417;35;10.187;147;932;35;13;68
AC;A1;0030;POCIVALISCE SENTILJ-SENTILJ;460;1.137;869;O;QLD-6;;Sentilj AC;10.940;34;9.769;145;894;29;9;60
AC;A1;0128;PRIKLJ.SENTILJ-MP;0;1.444;868;O;QLD-6;;Prik. Sentilj - MP;478;1;421;1;39;5;3;8
AC;A1;0031;SENTILJ - PESNICA;0;9.965;837;O;QLD-3 BS;;CP Pesnica;13.849;42;10.788;178;1.131;90;70;1.550
AC;A1;0066;MB(PTUJSKA)-ROGOZA;0;2.650;840;O;QLD-6;;Ptujska AC;11.543;39;9.502;23;849;192;445;493
AC;A1;0066;ROGOZA-SLIVNICA;2.650;4.857;;P;;;;9.000;35;7.435;20;670;130;300;410
AC;A1;0034;SLIVNICA;0;1.757;;P;;;;34.800;70;26.610;120;2.340;500;930;4.230
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD-6;;Hoce AC;34.739;70;26.531;126;2.342;508;932;4.230
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;;P;;;;30.300;40;22.640;120;2.200;350;850;4.100
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7.200;9.733;;P;;;;31.000;55;22.570;125;2.500;450;870;4.430
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;8.720;2002;O;QLD-3 BS;;Tepanje AC;23.538;50;16.165;103;1.851;427;742;4.200
AC;A1;0037;SL.KONJICE-CP TEPANJE;8.720;9.119;838;O;QLD-3 BS;;CP Tepanje;21.295;39;14.767;100;1.414;309;566;4.100
AC;A1;0136;PRIKLJ. SL. KONJICE;0;900;844;O;QLD-3 BS;;CP Sl.Konjice-MB;2.326;27;1.726;6;295;110;54;108
AC;A1;0136;PRIKLJ. SL.KONJICE;900;1.790;845;O;QLD-3 BS;;CP Sl.Konjice-CE;3.530;35;3.130;3;41;154;40;127
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;2003;O;QLD-3 BS;;Skedenj AC;24.742;53;17.177;108;1.945;449;780;4.230
AC;A1;0137;DRAMLJE-MB;0;600;846;O;QLD-3 BS;;Dramlje-MB;1.330;15;963;4;188;62;23;75
AC;A1;0137;DRAMLJE-CE;600;1.115;847;O;QLD-3 BS;;Dramlje-CE;5.329;40;4.040;9;597;217;168;258
AC;A1;0039;DRAMLJE-LJUBECNA;0;6.240;2004;O;QLD-3 BS;;Zepina AC;27.862;59;19.708;122;2.190;505;878;4.400
AC;A1;0039;LJUBECNA-CELJE;6.240;8.437;;P;;;;29.000;60;20.600;140;2.250;550;950;4.450
AC;A1;0040;CELJE-CELJE ZAHOD;0;5.410;648;O;QLD-6;;Lopata AC;36.505;78;26.976;160;2.870;662;1.151;4.608
AC;A1;0040;CELJE ZAHOD-ARJA VAS;5.410;7.510;;P;;;;41.000;70;31.220;180;3.000;770;1.300;4.460
AC;A1;0041;ARJA VAS-SEMPETER;0;7.510;;P;;;;34.900;65;25.700;175;2.800;760;850;4.550
AC;A1;0041;SEMPETER-SENTRUPERT;7.510;9.652;;P;;;;30.600;60;21.960;170;2.700;560;720;4.430
AC;A1;0042;SENTRUPERT-VRANSKO;0;7.899;839;O;QLD-3 BS;;CP Vransko;24.215;36;16.760;145;1.994;270;610;4.400
AC;A1;0043;VRANSKO-TROJANE;0;9.940;836;O;QLD-6;;Jasovnik AC;27.296;41;19.152;164;2.247;425;689;4.578
AC;A1;0067;TROJANE - BLAGOVICA;0;8.683;2001;O;QLD-6;;Sentozbolt AC;26.744;35;19.380;272;1.900;394;556;4.207
