Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;460;674;MP Sentilj AC;QLD6; ;12.295;19;9.430;96;1.063;201;150;590;746
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;460;1.137;869;Sentilj AC;QLD6; ;12.085;18;9.264;96;1.047;199;147;583;731
AC;A1;0128;PRIKLJ.SENTILJ - MP;0;1.444;868;Prik. Sentilj - MP;QLD6; ;278;1;223;0;21;3;4;8;18
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;CP Pesnica;QLD3; ;17.123;48;13.573;204;1.298;200;150;600;1.050
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;;20.000;45;16.275;200;1.420;280;290;590;900
AC;A1;0071;DRAGUCOVA - MB (PTUJSKA);0;7.770;889;Malecnik AC;QLTC8; ;24.968;47;16.495;256;2.583;563;328;758;3.938
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.650;840;Ptujska AC;QLD6; ;30.000;70;21.680;200;2.800;550;400;700;3.600
AC;A1;0066;ROGOZA - SLIVNICA;2.650;4.857;;;P;;28.100;65;20.180;195;2.650;500;250;680;3.580
AC;A1;0034;SLIVNICA ;0;1.757;;;P;;38.500;60;29.020;200;3.500;730;580;1.020;3.390
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8; ;38.451;59;28.911;203;3.503;739;585;1.052;3.399
AC;A1;0134;PRIKLJ. FRAM;0;1.000;848;Prikljucek Fram - Mb;QLTC8; ;5.502;15;4.833;6;344;72;99;31;102
AC;A1;0134;PRIKLJ. FRAM;1.000;1.368;849;Prikljucek Fram - Ce;QLTC8; ;1.791;3;1.470;3;179;39;34;13;50
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;7.200;2005;Polskava AC;QLTC8; ;34.159;51;25.270;192;3.187;675;513;1.064;3.207
AC;A1;0036;SL.BISTRICA - SEVER-JUG;7.200;9.733;2006;Sl.Bistrica AC;QLD3; ;37.328;69;28.860;206;2.784;609;550;1.100;3.150
AC;A1;0135;PRIKLJ. SL. BISTRICA-J;0;400;856;Prikljucek Sl.Bistrica - Mb;QLD3; ;9.263;17;7.658;28;700;415;140;145;160
AC;A1;0135;PRIKLJ. SL. BISTRICA-J;400;1.638;857;Prikljucek Sl.Bistrica - Ce;QLD3; ;3.909;8;3.367;22;292;80;40;40;60
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;8.720;2002;Tepanje AC;QLD3; ;31.860;62;24.072;126;2.275;525;700;1.050;3.050
AC;A1;0037;SL.KONJICE - CP TEPANJE;8.720;9.119;838;CP Tepanje;QLD3; ;27.085;46;20.227;118;1.664;364;666;1.000;3.000
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;QLD3; ;4.775;45;3.860;10;490;170;90;50;60
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;QLD3; ;3.436;34;3.040;3;40;150;39;60;70
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;2003;Skedenj AC;QLD3; ;30.521;66;22.389;133;2.400;553;850;1.030;3.100
AC;A1;0137;DRAMLJE - MB;0;600;846;Dramlje-MB;QLD3; ;1.550;18;1.123;4;219;72;26;35;53
AC;A1;0137;DRAMLJE - CE;600;1.115;847;Dramlje-CE;QLD3; ;4.794;36;3.634;8;537;195;151;93;140
AC;A1;0039;DRAMLJE - LJUBECNA;0;6.240;2004;Zepina AC;QLD3; ;33.765;65;24.984;150;2.654;612;950;1.100;3.250
AC;A1;0039;LJUBECNA - CELJE;6.240;8.437;;;P;;34.500;60;25.470;170;2.700;750;800;1.200;3.350
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.410;648;Lopata AC;QLTC8; ;39.637;59;29.089;216;3.825;874;764;1.351;3.459
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.410;7.510;;;P;;43.300;70;32.920;210;3.850;750;800;1.300;3.400
AC;A1;0041;ARJA VAS - SEMPETER;0;7.510;;;P;;37.100;65;27.035;180;3.650;700;650;1.370;3.450
AC;A1;0041;SEMPETER - SENTRUPERT;7.510;9.652;;;P;;33.300;60;23.780;190;3.350;550;570;1.350;3.450
AC;A1;0042;SENTRUPERT - VRANSKO;0;7.899;839;CP Vransko;QLD3; ;35.346;45;27.007;183;2.520;341;500;1.250;3.500
