Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;NOO;TIP
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;460;674;MT Sentilj AC;QLD6;13.222;29;10.090;96;1.144;215;138;540;970;14.121.101;PLDP 
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;460;1.137;869;Sentilj AC;QLTC8;13.152;28;10.055;96;1.135;213;138;534;953;13.735.899;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP;0;1.444;868;Prik. Sentilj - MP;QLD6;411;1;344;1;25;4;4;7;25;461.845;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;CP Pesnica;QLD3;17.776;50;14.036;210;1.300;215;140;545;1.280;17.125.083;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570; ;;P;19.200;45;15.185;200;1.420;280;290;520;1.260;17.413.736;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.470;889;Malecnik AC;QLTC8;26.687;56;17.522;271;2.823;595;299;799;4.322;46.261.114;PLDP
AC;A1;0071;MB (ZRKOVSKA) - MB (PTUJSKA);4.470;7.770; ;;P;26.750;55;17.550;270;2.850;600;300;800;4.325;45.527.538;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.650;840;Ptujska AC;QLTC8;33.908;52;23.824;272;3.366;628;512;1.166;4.088;47.390.842;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.650;4.857; ;;P;32.400;65;22.750;265;3.200;580;380;1.120;4.040;45.990.378;PLDP
AC;A1;0034;SLIVNICA;0;1.757; ;;P;40.000;65;30.135;220;3.500;840;430;810;4.000;43.840.411;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;40.033;70;29.730;225;3.909;843;436;808;4.012;44.916.390;PLDP
