Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP;
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;460;674;MT Sentilj AC;QLD6;14.920;41;11.694;91;1.148;164;115;261;1.406;1.487;PLDP;
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;460;1.137;869;Sentilj AC;QLTC8;14.770;40;11.589;90;1.131;163;114;255;1.388;1.466;PLDP;
AC;A1;0128;PRIKLJ.SENTILJ - MP;0;1.646;868;Prik. Sentilj - MP;QLD6;340;1;280;1;25;3;3;6;21;24;PLDP;
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;CP Pesnica;QLD3;19.458;67;15.441;230;1.300;170;125;355;1.770;1.956;PLDP;
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570; ; ;P;21.000;60;16.775;215;1.450;220;200;330;1.750;1.951;PLDP;
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.470;889;Malecnik AC;QLTC8;28.478;73;18.728;291;3.157;556;210;888;4.575;4.814;PLDP;
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.470;7.770; ; ;P;28.550;65;18.755;290;3.100;580;240;870;4.650;4.877;PLDP;
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.650;840;Ptujska AC;QLTC8;35.230;60;24.588;294;3.664;634;302;814;4.874;5.052;PLDP;
AC;A1;0066;ROGOZA - SLIVNICA;2.650;4.857; ; ;P;33.700;70;23.470;275;3.500;580;300;805;4.700;4.876;PLDP;
AC;A1;0034;SLIVNICA;0;1.757; ; ;P;40.020;80;29.205;240;4.100;775;340;800;4.480;4.744;PLDP;
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;40.015;85;29.224;236;4.078;772;340;802;4.478;4.740;PLDP;
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Prikljucek Fram - Mb;QLTC8;6.102;15;4.633;18;422;88;62;124;740;752;PLDP;
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Prikljucek Fram - Ce;QLTC8;2.426;5;1.426;15;248;55;31;93;553;555;PLDP;
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;7.200;2005;Polskava AC;QLTC8;36.339;75;26.017;233;3.904;739;309;771;4.291;4.543;PLDP;
AC;A1;0036;SL.BISTRICA - SEVER-JUG;7.200;9.733;2006;Sl.Bistrica AC;QLD3;37.965;119;27.594;240;3.848;800;380;843;4.141;4.528;PLDP;
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Prikljucek Sl.Bistrica - Mb;QLD3;8.671;20;7.141;35;665;380;130;135;165;424;PLDP;
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Prikljucek Sl.Bistrica - Ce;QLD3;4.038;10;3.393;25;345;95;55;50;65;157;PLDP;
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;8.720;2002;Tepanje AC;QLD3;33.332;109;23.620;230;3.528;648;398;758;4.041;4.334;PLDP;
AC;A1;0037;SL.KONJICE - CP TEPANJE;8.720;9.119;838;CP Tepanje;QLD3;28.527;64;19.755;215;3.030;479;313;713;3.958;4.141;PLDP;
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;QLD3;4.805;45;3.865;15;498;169;85;45;83;193;PLDP;
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;QLD3;3.628;39;2.936;10;296;148;44;60;95;191;PLDP;
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;2003;Skedenj AC;QLD3;32.155;103;22.691;225;3.326;627;357;773;4.053;4.331;PLDP;
AC;A1;0137;DRAMLJE - MB;0;600;846;Dramlje-MB;QLD3;1.683;21;1.167;5;236;77;82;30;65;131;PLDP;
AC;A1;0137;DRAMLJE - CE;600;1.115;847;Dramlje-CE;QLD3;4.469;38;3.356;8;514;190;138;85;140;291;PLDP;
AC;A1;0039;DRAMLJE - LJUBECNA;0;6.240;2004;Zepina AC;QLD3;34.941;120;24.880;228;3.604;740;413;828;4.128;4.491;PLDP;
AC;A1;0039;LJUBECNA - CELJE;6.240;8.437; ; ;P;35.800;115;25.425;230;3.800;800;450;830;4.150;4.543;PLDP;
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.410;648;Lopata AC;QLTC8;39.304;54;28.077;229;4.322;905;468;848;4.401;4.795;PLDP;
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.410;7.510; ; ;P;43.500;60;32.280;210;4.400;750;480;870;4.450;4.796;PLDP;
AC;A1;0041;ARJA VAS - SEMPETER;0;7.510; ; ;P;37.500;55;27.045;200;3.900;700;450;850;4.300;4.628;PLDP;
AC;A1;0041;SEMPETER - SENTRUPERT;7.510;9.652; ; ;P;34.000;50;24.215;195;3.550;630;430;830;4.100;4.420;PLDP;
AC;A1;0042;SENTRUPERT - VRANSKO;0;7.899;839;CP Vransko;QLD3;36.108;53;27.000;190;2.865;510;380;910;4.200;4.507;PLDP;
AC;A1;0043;VRANSKO - TROJANE;0;9.940;836;Jasovnik AC;QLTC8;34.552;57;24.236;232;3.960;667;264;795;4.341;4.564;PLDP;
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.683;2001;Sentozbolt AC;QLD6;37.838;45;27.553;370;3.954;285;546;889;4.196;4.604;PLDP;
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;QLD6;209;1;164;2;24;7;4;2;5;11;PLDP;
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;529;843;CP Blagovica-LJ;QLD6;1.260;3;1.079;8;95;22;11;13;29;50;PLDP;
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.830;834;CP Kompolje;QLD6;38.889;47;28.468;376;4.025;300;553;900;4.220;4.643;PLDP;
AC;A1;0044;LUKOVICA - KRTINA;8.830;12.465; ; ;P;40.600;80;30.100;380;4.200;330;470;890;4.150;4.562;PLDP;
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-Lj;QLD6;1.803;7;1.640;3;121;8;7;3;14;21;PLDP;
AC;A1;0143;PRIKLJ. KRTINA;0;761;835;CP Krtina-Lj;QLD6;4.910;11;4.478;7;291;17;23;14;69;84;PLDP;
AC;A1;0045;KRTINA - DOMZALE;0;3.485; ; ;P;43.500;100;32.720;300;4.300;580;450;900;4.150;4.582;PLDP;
AC;A1;0046;DOMZALE - SENTJAKOB;0;5.402;830;Psata AC;QLTC8;52.354;111;40.828;232;5.036;774;347;836;4.190;4.537;PLDP;
AC;A1;0047;SENTJAKOB - SNEBERJE;0;1.170; ; ;P;65.300;120;53.170;230;5.500;830;450;850;4.150;4.568;PLDP;
AC;A1;0047;SNEBERJE - LJ(ZADOBRAVA);1.170;2.866; ; ;P;66.800;125;54.440;245;5.700;880;560;800;4.050;4.512;PLDP;
