Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLD6;16.015;54;12.502;91;1.259;169;122;262;1.556;1.612;PLDP
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;15.838;54;12.371;91;1.241;167;121;256;1.537;1.591;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Priklj. Sentilj MP;QLD6;380;1;316;1;28;3;3;6;22;25;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLD;20.346;70;16.126;230;1.400;150;120;350;1.900;2.048;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;21.000;65;16.825;220;1.450;150;120;320;1.850;1.951;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;29.081;73;19.206;296;3.252;555;202;858;4.639;4.842;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;29.150;65;19.410;295;3.200;570;230;830;4.550;4.762;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;36.064;40;25.984;308;3.688;596;290;730;4.428;4.622;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;33.600;50;23.815;280;3.500;540;285;720;4.410;4.562;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;38.900;60;28.245;230;4.050;765;330;790;4.430;4.682;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;38.927;65;28.315;226;4.008;760;333;795;4.425;4.679;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-Mb;QLTC8;6.022;13;4.618;20;444;85;68;113;661;683;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-Ce;QLTC8;2.384;5;1.453;17;262;50;27;83;487;492;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;35.289;57;25.150;223;3.826;725;292;765;4.251;4.489;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLD3;36.497;90;26.046;235;3.901;864;456;827;4.078;4.507;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-Mb;QLD3;8.482;20;6.985;34;651;372;127;132;161;414;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Prikl. Sl.Bistrica-Ce;QLD3;3.948;10;3.317;24;337;93;54;49;64;154;PLDP
