Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLD6;18.927;50;14.790;107;1.496;184;132;288;1.880;1911;PLDP
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;18.709;50;14.614;106;1.473;183;130;284;1.869;1897;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Priklj. Sentilj MP;QLD6;461;1;396;1;38;2;2;5;16;19;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837; Pesnica AC;QLTC8;23.298;61;18.406;196;2.008;174;78;374;2.001;2117;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;23.500;60;18.775;210;1.900;155;100;350;1.950;2069;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;30.470;81;20.434;305;3.325;576;184;960;4.605;4903;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;30.550;85;20.305;300;3.400;590;250;870;4.750;4971;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;36.600;104;25.443;305;3.980;616;307;865;4.980;5182;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;34.100;90;22.980;300;3.850;760;280;840;5.000;5208;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;40.110;80;29.185;250;4.230;725;360;780;4.500;4743;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;40.110;76;29.190;252;4.227;724;359;781;4.501;4745;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.412;16;4.996;25;474;80;78;127;616;663;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;2.467;6;1.559;21;281;42;27;86;445;462;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;36.165;66;25.753;248;4.034;686;308;740;4.330;4543;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;38.690;85;27.549;265;4.407;803;415;773;4.393;4704;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;9.086;18;7.496;58;790;244;144;93;243;433;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Prikl. Sl.Bistrica-CE;QLTC8;4.116;16;3.398;16;430;50;30;36;140;178;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.119;838;Preloge AC;QLTC8;33.720;83;23.451;223;4.047;609;301;716;4.290;4449;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;Prazno;4.940;25;4.140;15;420;120;70;50;100;191;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;Prazno;3.730;10;3.191;4;248;115;60;67;35;140;PLDP
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;32.510;68;22.503;212;3.875;604;290;733;4.225;4398;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - MB;0;600;846;Dramlje-MB;QLTC8;1.807;6;1.427;3;230;36;24;19;62;86;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - CE;600;1.115;847;Dramlje-CE;QLTC8;4.356;13;3.544;11;430;90;64;51;153;220;PLDP
AC;A1;0039;DRAMLJE - LJUBECNA;0;6.436;2004;Zepina AC;QLTC8;35.059;75;24.620;220;4.075;658;330;765;4.316;4532;PLDP
AC;A1;0039;LJUBECNA - CELJE;6.436;8.437;;;P;36.300;80;25.610;250;4.100;730;400;740;4.390;4638;PLDP
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;38.500;106;27.512;307;3.999;846;529;701;4.500;4815;PLDP
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.510;;;P;42.900;100;31.620;250;4.400;720;480;780;4.550;4823;PLDP
AC;A1;0041;ARJA VAS - SEMPETER;0;7.511;;;P;37.800;90;26.870;240;4.300;680;410;760;4.450;4684;PLDP
AC;A1;0041;SEMPETER - SENTRUPERT;7.511;9.652;;;P;34.700;85;24.100;235;4.200;620;360;750;4.350;4557;PLDP
AC;A1;0042;SENTRUPERT - VRANSKO;0;7.899;839;Vransko AC;QLTC8;37.151;88;26.514;235;4.291;577;269;761;4.416;4573;PLDP
AC;A1;0043;VRANSKO - TROJANE;0;9.940;836;Jasovnik AC;QLTC8;35.885;78;25.353;237;4.122;640;283;792;4.380;4595;PLDP
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.683;2001;Sentozbolt AC;Prazno;38.300;85;27.633;238;4.421;579;282;730;4.332;4489;PLDP
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;Prazno;250;2;201;2;20;6;7;2;10;15;PLDP
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;529;843;CP Blagovica-LJ;Prazno;1.950;5;1.701;4;95;20;20;25;80;100;PLDP
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;39.692;88;29.001;240;4.346;593;269;753;4.402;4564;PLDP
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.465;;;P;40.471;90;29.721;240;4.350;600;280;760;4.430;4598;PLDP
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;Prazno;2.000;10;1.817;2;120;6;10;5;30;35;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.271;3;979;3;157;24;9;17;79;89;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;5.006;20;4.478;2;334;22;16;23;111;121;PLDP
