Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLD*;20.481;52;15.724;115;1.619;205;148;325;2.293;2288;PLDP
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;20.275;52;15.560;114;1.593;204;147;321;2.284;2276;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Priklj. Sentilj MP;QLD6;401;1;346;0;36;3;2;3;10;12;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;25.055;62;19.740;205;2.189;181;87;388;2.203;2301;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;25.300;60;20.130;210;2.100;170;110;370;2.150;2253;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;32.686;88;22.059;307;3.573;597;190;1.003;4.869;5158;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;32.800;90;22.045;300;3.600;600;255;910;5.000;5207;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;38.222;95;26.621;299;4.219;594;309;865;5.220;5364;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;35.700;110;24.080;300;4.100;750;270;840;5.250;5402;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;42.000;100;30.615;250;4.460;710;330;785;4.750;4932;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;42.000;101;30.611;251;4.461;710;331;785;4.750;4933;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.206;17;4.874;25;477;73;57;115;568;606;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;2.493;7;1.604;24;280;42;24;86;426;447;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;38.287;91;27.341;250;4.264;679;298;756;4.608;4774;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;40.418;91;28.883;259;4.648;782;395;807;4.553;4842;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;9.225;19;7.644;54;792;239;132;95;250;432;PLDP
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Prikl. Sl.Bistrica-CE;QLTC8;4.309;19;3.592;16;437;49;30;34;132;169;PLDP
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.119;838;Preloge AC;QLTC8;35.502;91;24.831;221;4.293;592;293;746;4.435;4580;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;Prazno;5.050;30;4.195;15;450;125;65;60;110;207;PLDP
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;Prazno;3.883;25;3.310;10;231;126;60;63;58;163;PLDP
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;34.335;86;23.946;216;4.074;593;288;749;4.383;4536;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - MB;0;600;846;Priklj. Dramlje-MB;QLTC8;1.926;5;1.536;3;242;36;23;18;63;86;PLDP
AC;A1;0137;PRIKLJ. DRAMLJE - CE;600;1.115;847;Priklj. Dramlje-CE;QLTC8;4.675;12;3.851;11;444;93;56;49;159;222;PLDP
AC;A1;0039;DRAMLJE - LJUBECNA;0;6.436;2004;Zepina AC;QLTC8;37.084;93;26.261;224;4.276;650;321;780;4.479;4671;PLDP
AC;A1;0039;LJUBECNA - CELJE;6.436;8.437;;;P;38.300;95;27.080;235;4.400;740;400;800;4.550;4807;PLDP
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;40.500;105;28.403;250;4.960;828;461;833;4.660;4979;PLDP
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.510;;;P;44.700;100;33.250;250;4.400;720;480;800;4.700;4959;PLDP
AC;A1;0041;ARJA VAS - SEMPETER;0;7.511;;;P;39.600;95;28.435;240;4.300;680;410;780;4.660;4868;PLDP
AC;A1;0041;SEMPETER - SENTRUPERT;7.511;9.652;;;P;36.500;90;25.665;235;4.200;620;360;770;4.560;4741;PLDP
AC;A1;0042;SENTRUPERT - VRANSKO;0;7.899;839;Vransko AC;QLTC8;38.921;92;27.753;238;4.579;577;275;775;4.632;4762;PLDP
AC;A1;0043;VRANSKO - TROJANE;0;9.940;836;Jasovnik AC;QLTC8;37.352;90;26.495;241;4.325;633;282;789;4.497;4686;PLDP
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.683;2001;Sentozbolt AC;Prazno;40.330;96;29.343;241;4.528;565;260;747;4.550;4667;PLDP
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;Prazno;245;2;185;2;25;7;8;5;11;19;PLDP
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;529;843;CP Blagovica-LJ;Prazno;1.700;5;1.492;3;100;25;25;30;20;58;PLDP
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;41.785;99;30.650;242;4.603;583;277;772;4.559;4706;PLDP
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.465;;;P;42.900;100;31.655;245;4.650;590;290;780;4.590;4746;PLDP
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;Prazno;2.100;10;1.873;2;150;8;15;7;35;43;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.380;3;1.067;3;170;26;9;17;85;95;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-Lj;QLTC8;5.264;20;4.685;3;374;27;19;22;114;126;PLDP
AC;A1;0045;KRTINA - DOMZALE;0;3.485;;;P;46.784;117;35.267;240;4.854;591;300;785;4.630;4782;PLDP
AC;A1;0046;DOMZALE - SENTJAKOB;0;5.402;830;Psata AC;QLTC8;54.484;134;42.374;238;5.234;660;360;796;4.688;4878;PLDP
AC;A1;0047;SENTJAKOB - SNEBERJE;0;1.159;;;P;67.500;140;55.330;240;5.200;730;410;810;4.640;4891;PLDP
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;2.866;;;P;69.000;160;55.895;235;6.100;750;450;790;4.620;4875;PLDP
AC;A1;0048;LJ (ZADOBROVA - IND. CONA MOSTE);0;536;;;P;79.900;195;67.535;230;6.300;810;470;710;3.650;4057;PLDP
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOSKA);536;1.330;;;P;78.900;190;67.110;220;6.100;840;490;650;3.300;3738;PLDP
AC;A1;0049;LJ (ZALOSKA - LITIJSKA);0;1.277;;;P;68.300;180;56.865;170;6.000;845;510;630;3.100;3535;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.979;180;V Obvoznica;QLTC8;63.293;174;52.308;168;5.761;843;524;592;2.923;3366;PLDP
AC;A1;0019;LJ (MALENCE - DOLENJSKA C.);0;456;;;P;65.000;180;52.540;280;5.800;760;540;850;4.050;4533;PLDP
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;;;P;61.500;175;49.635;250;5.600;680;500;860;3.800;4282;PLDP
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.943;178;J Obvoznica;QLD*;68.500;200;55.330;360;6.300;950;450;960;3.950;4623;PLDP
AC;A1;0017;LJ (BARJANSKA  -  VIC);0;2.758;;;P;67.000;200;54.270;360;5.800;900;430;990;4.050;4705;PLDP
