Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLD;23.710;57;18.375;132;1.944;207;142;356;2.497;2.487;PLDP;;;
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;23.260;56;17.997;130;1.909;205;139;350;2.474;2.460;PLDP;;;
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Prikj. Sentilj-MP;QLD6;450;1;378;2;35;2;3;6;23;26;PLDP;;;
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;28.598;68;22.583;220;2.570;196;96;416;2.449;2.538;PLDP;;;
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;28.800;70;22.600;240;2.650;190;120;500;2.430;2.611;PLDP;;;
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;37.020;48;25.280;325;4.088;619;188;1.022;5.450;5.657;PLDP;;;
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;37.200;40;25.265;310;4.150;615;260;960;5.600;5.741;PLDP;;;
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;43.826;38;30.864;302;4.942;613;313;912;5.842;5.908;PLDP;;;
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;41.500;40;28.760;300;4.800;600;270;870;5.860;5.869;PLDP;;;
AC;A1;0034;SLIVNICA;0;1.757;;;P;46.160;40;33.950;260;5.130;680;340;800;4.960;5.113;PLDP;;;
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;46.157;33;33.959;261;5.131;679;337;797;4.960;5.110;PLDP;;;
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.815;27;5.464;26;516;64;52;115;551;588;PLDP;;;
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;2.667;67;1.744;24;286;37;24;93;392;424;PLDP;;;
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;42.009;73;30.239;259;4.901;652;309;775;4.801;4.946;PLDP;;;
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;43.736;81;31.448;265;5.087;684;369;826;4.976;5.161;PLDP;;;
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;9.700;10;8.280;45;810;125;100;75;255;368;PLDP;;;
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Priklj. Sl.Bistrica-CE;QLTC8;4.500;20;3.663;19;516;63;44;35;140;188;PLDP;;;
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.119;838;Preloge AC;QLTC8;38.536;91;26.831;239;4.793;622;313;786;4.861;4.981;PLDP;;;
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;Prazno;5.200;10;4.190;135;470;150;65;60;120;306;PLDP;;;
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;Prazno;3.754;15;3.201;135;89;119;59;60;76;260;PLDP;;;
