Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLTC8;23.680;54;18.167;143;2.023;204;130;377;2.582;2.579;PLDP
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;23.240;52;17.781;142;1.993;202;130;373;2.567;2.563;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Priklj. Sentilj-MP;QLTC8;455;4;376;1;40;3;2;4;25;26;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837; Pesnica AC;QLTC8;29.100;70;22.594;227;2.894;200;95;450;2.570;2.676;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;29.300;90;22.550;240;3.000;200;120;550;2.550;2.758;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;37.530;45;25.538;327;4.310;550;185;1.200;5.375;5.730;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;37.800;40;25.640;310;4.350;570;240;1.100;5.550;5.803;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;44.769;38;31.656;309;5.058;589;288;949;5.882;5.972;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;42.500;40;29.810;310;4.700;560;280;900;5.900;5.935;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;47.370;40;34.870;315;5.100;760;415;840;5.030;5.303;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;47.370;40;34.870;315;5.100;760;415;840;5.030;5.303;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.950;20;5.614;25;500;56;50;120;565;601;PLDP
